Tickets: 6016
Sets: 420

+-------------------------------------------------------------+-----+----+----+----+----+----+------+
|                             addr                            |  1  | 2  | 3  | 4  | 5  | 6  | sets |
| stake1u8xfvh50nqnzns3jajut2e8y0p6ynk65xgka202539vrkpgzxljcx |  1  | 1  | 1  | 2  | 1  | 1  |  1   |
| stake1u8xh2d4xexn4t5c4h295tjuwpag66xw25m5km7gvpctx0zqr8cg7a |  20 | 0  | 0  | 0  | 0  | 0  |  0   |
| stake1u8xxr76gajk6k3m36c538d7cq0azt4ty86m8zsahcc95e2g6p6e7k |  1  | 1  | 0  | 0  | 1  | 0  |  0   |
| stake1u8z2dcjl02xwljxlrkrvsm3umwa8j727lmexyytfs9sxgwqgcwt3l |  5  | 5  | 8  | 11 | 30 | 11 |  11  |
| stake1u8zt8rhraseg3npr23etmykqnt5vkm03xpzlmhamnrslh2qw4c9ux |  3  | 0  | 0  | 0  | 0  | 0  |  0   |
| stake1u8zy4ugcluaruf7685lges2gn9rvza4fdyx7l00x3sg6vmgej0ltx |  19 | 1  | 1  | 25 | 20 | 20 |  20  |
| stake1u909slxvprgvtx42ljzhuw057044dfmc3lrt9rg2h280lrsp7ay6y |  5  | 0  | 9  | 3  | 3  | 0  |  0   |
| stake1u92aa7jm70q9h6l8hjfjl6s98jhh0z0g2vkckjnp6uq0ggs4amsvm |  10 | 0  | 0  | 0  | 0  | 0  |  0   |
| stake1u92gavn9kzdq9g3wfp7lstt4erxy573xpqahrmks0jhh8zc829780 |  10 | 0  | 0  | 0  | 0  | 0  |  0   |
| stake1u930x23zqyswsa7vm42l4pnkr6najwareekkfz0rcaa2dtqjqvhwk |  38 | 3  | 0  | 14 | 0  | 0  |  0   |
| stake1u938p6ued2gwxeyk4pnprd85we652c0vz8qqwur3y6udatg9x5rr8 |  1  | 0  | 0  | 0  | 0  | 0  |  0   |
| stake1u942u0800fe34ae48em0pq70yr60c586ykzxka0ncasthugr7zz9a |  1  | 1  | 0  | 0  | 0  | 0  |  0   |
| stake1u94n7hza8g39gvp9mzd5cqnc47f7f248fyt87jkdqyw70gsklkwvf |  9  | 8  | 6  | 10 | 0  | 3  |  3   |
| stake1u95y3t7y3hkk4hjwlvr84yglkgphh5x7ve24qhvxh7tjupglt35r6 |  5  | 3  | 0  | 0  | 0  | 0  |  0   |
| stake1u96344lcekax84d2ykdm4hp8sjs62cwz7ru0fmnh5mx6jxcclkyhx |  4  | 2  | 1  | 23 | 10 | 7  |  7   |
| stake1u967ry0y0n6c74fffa0ltqs5mfnpah4lsdcvmqas0f5mlss32gxv7 |  10 | 0  | 0  | 0  | 0  | 0  |  0   |
| stake1u96ap39dytkz3hng9hdl66p76k2xd89nprr5sad8h5wrnzse0amqh |  2  | 0  | 0  | 0  | 0  | 0  |  0   |
| stake1u96ayrg64tr7yryp5rw7qqxdnnknfrhgk984rj7fa9a8cugrqd9yx |  1  | 0  | 0  | 0  | 0  | 0  |  0   |
| stake1u96efs5y0cyk99g0uucpkc2es7tsujfn6my2xlyah0gkvjqr6xpkl |  20 | 0  | 0  | 20 | 20 | 20 |  20  |
| stake1u96t9h4hxcw0nfqe9jglyxwy508z28yepfy8c5yhd0zmmactq47kt |  2  | 0  | 1  | 2  | 4  | 0  |  0   |
| stake1u97ctfzjgwvpz50c5fjgtwng7g857acjwre580cvz5hu6xgf0u4tt |  42 | 20 | 18 | 20 | 21 | 20 |  20  |
| stake1u97snymdh7x0ajj0gdmwauulsval0hncfs73jyg2hsj3q9qu7923a |  1  | 0  | 0  | 1  | 1  | 1  |  1   |
| stake1u97tefm52asr73yxd5ycqyaxyrj6pehzcytfvx6qvr8549g5uvcl2 |  1  | 11 | 2  | 5  | 1  | 3  |  3   |
| stake1u98n97hrscfwymzury4cemnfhk6tljwxkmdrf5fj6jtzxdsw8tzs2 |  10 | 3  | 12 | 0  | 0  | 0  |  0   |
| stake1u98qkwrzz3sgn0fa2fg3a3g78czyu544gywngs2n3rev03gg5td0j |  5  | 4  | 0  | 0  | 0  | 0  |  0   |
| stake1u98uvrpxznj3muwnln3x683y7zzzpw2ldcv5h3s6k3um3dc4ll4rs |  1  | 0  | 0  | 0  | 0  | 0  |  0   |
| stake1u994phl0mnvsxxw89v3edn57mdvqrj0hjqd5zuu7262ey7q7whes5 |  10 | 0  | 0  | 31 | 0  | 0  |  0   |
| stake1u99u3xsaflxeqxsgxk3l38fg8nwqpy6nwa7jm2mw59x8w8s84yqzh |  1  | 1  | 1  | 3  | 6  | 1  |  1   |
| stake1u99xyy6galzant2zh48tj9qtyqvegj6euns3hgjx0nuetvc7k2yz6 |  1  | 0  | 0  | 0  | 0  | 0  |  0   |
| stake1u9acjg2h72f4tpsqu9qaqyhp003ww30wcytumd22defrp4gpc75h5 |  20 | 11 | 5  | 10 | 11 | 5  |  5   |
| stake1u9ajwts6lagfeqz8wvdvlt3qdu6qudazzhfmq6fje0wqg4gslrfqh |  10 | 0  | 10 | 0  | 0  | 0  |  0   |
| stake1u9ak4v4zvcx5avrmmugmzzj3zxelzy56mwar6zqy228uspg40w09y |  1  | 0  | 0  | 0  | 0  | 0  |  0   |
| stake1u9akct9a6z6quhdan759mjw537th4zxufk9tv0yet7a9hcs0n3uwu |  1  | 0  | 0  | 0  | 0  | 0  |  0   |
| stake1u9c3rlc90dukrmjlfzn4uap27nyl06yuunx78terkqtywjsgudqck |  1  | 0  | 0  | 0  | 0  | 0  |  0   |
| stake1u9c6gtg9eyfxcl6vs7f288xvu3ryf4d0hhlrhtztzru8gvg9zxkdm |  3  | 0  | 2  | 2  | 2  | 3  |  2   |
| stake1u9c6ks0cp6vd5t4d0qlq5x5q8rl0lstfugf5hgxktszlprsd2xs8k |  10 | 1  | 0  | 0  | 0  | 0  |  0   |
| stake1u9crpmq2hahy5lgpzpk9ajhtnp30kjtqywsnrxfst6f853gvm5xxd |  23 | 0  | 0  | 0  | 0  | 0  |  0   |
