addr1q9zvu5h5erqgj3j6a6ar85j02pj2a4hfppnvzem9wkqa7lenvtecglt96vemd84dwgsqwj4klyzdqa24x2w8fhp3306s36ggzm: RaffleforUkraineOGBook620 
addr1q9zvu5h5erqgj3j6a6ar85j02pj2a4hfppnvzem9wkqa7lenvtecglt96vemd84dwgsqwj4klyzdqa24x2w8fhp3306s36ggzm: RaffleforUkraineOGBook98 
addr1qy2l3na5m2wtgtzdd6zz08gm8pv3c9r40l7uxnyy6x70rrvnm5cxq4ugk5cmd0wa744jfd0q6nqhxw77cgevwchv3uds6pnc9d: RaffleforUkraineOGBook1219 
addr1qy2l3na5m2wtgtzdd6zz08gm8pv3c9r40l7uxnyy6x70rrvnm5cxq4ugk5cmd0wa744jfd0q6nqhxw77cgevwchv3uds6pnc9d: RaffleforUkraineOGBook1233 
addr1qy2l3na5m2wtgtzdd6zz08gm8pv3c9r40l7uxnyy6x70rrvnm5cxq4ugk5cmd0wa744jfd0q6nqhxw77cgevwchv3uds6pnc9d: RaffleforUkraineOGBook1491 
addr1qy2l3na5m2wtgtzdd6zz08gm8pv3c9r40l7uxnyy6x70rrvnm5cxq4ugk5cmd0wa744jfd0q6nqhxw77cgevwchv3uds6pnc9d: RaffleforUkraineOGBook1516 
addr1qy2l3na5m2wtgtzdd6zz08gm8pv3c9r40l7uxnyy6x70rrvnm5cxq4ugk5cmd0wa744jfd0q6nqhxw77cgevwchv3uds6pnc9d: RaffleforUkraineOGBook1553 
addr1qy2l3na5m2wtgtzdd6zz08gm8pv3c9r40l7uxnyy6x70rrvnm5cxq4ugk5cmd0wa744jfd0q6nqhxw77cgevwchv3uds6pnc9d: RaffleforUkraineOGBook348 
addr1qy2l3na5m2wtgtzdd6zz08gm8pv3c9r40l7uxnyy6x70rrvnm5cxq4ugk5cmd0wa744jfd0q6nqhxw77cgevwchv3uds6pnc9d: RaffleforUkraineOGBook580 
addr1qy2l3na5m2wtgtzdd6zz08gm8pv3c9r40l7uxnyy6x70rrvnm5cxq4ugk5cmd0wa744jfd0q6nqhxw77cgevwchv3uds6pnc9d: RaffleforUkraineOGBook643 
addr1qy2l3na5m2wtgtzdd6zz08gm8pv3c9r40l7uxnyy6x70rrvnm5cxq4ugk5cmd0wa744jfd0q6nqhxw77cgevwchv3uds6pnc9d: RaffleforUkraineOGBook902 
addr1qy2l3na5m2wtgtzdd6zz08gm8pv3c9r40l7uxnyy6x70rrvnm5cxq4ugk5cmd0wa744jfd0q6nqhxw77cgevwchv3uds6pnc9d: RaffleforUkraineOGBook96 
addr1q9zvu5h5erqgj3j6a6ar85j02pj2a4hfppnvzem9wkqa7lenvtecglt96vemd84dwgsqwj4klyzdqa24x2w8fhp3306s36ggzm: RaffleforUkraineOGBook1106 
addr1q9zvu5h5erqgj3j6a6ar85j02pj2a4hfppnvzem9wkqa7lenvtecglt96vemd84dwgsqwj4klyzdqa24x2w8fhp3306s36ggzm: RaffleforUkraineOGBook1193 
addr1q9zvu5h5erqgj3j6a6ar85j02pj2a4hfppnvzem9wkqa7lenvtecglt96vemd84dwgsqwj4klyzdqa24x2w8fhp3306s36ggzm: RaffleforUkraineOGBook1283 
addr1q9zvu5h5erqgj3j6a6ar85j02pj2a4hfppnvzem9wkqa7lenvtecglt96vemd84dwgsqwj4klyzdqa24x2w8fhp3306s36ggzm: RaffleforUkraineOGBook1439 
addr1q9zvu5h5erqgj3j6a6ar85j02pj2a4hfppnvzem9wkqa7lenvtecglt96vemd84dwgsqwj4klyzdqa24x2w8fhp3306s36ggzm: RaffleforUkraineOGBook1756 
addr1q9zvu5h5erqgj3j6a6ar85j02pj2a4hfppnvzem9wkqa7lenvtecglt96vemd84dwgsqwj4klyzdqa24x2w8fhp3306s36ggzm: RaffleforUkraineOGBook1928Copy 
addr1q9zvu5h5erqgj3j6a6ar85j02pj2a4hfppnvzem9wkqa7lenvtecglt96vemd84dwgsqwj4klyzdqa24x2w8fhp3306s36ggzm: RaffleforUkraineOGBook218 
addr1q9zvu5h5erqgj3j6a6ar85j02pj2a4hfppnvzem9wkqa7lenvtecglt96vemd84dwgsqwj4klyzdqa24x2w8fhp3306s36ggzm: RaffleforUkraineOGBook823 
addr1q9zvu5h5erqgj3j6a6ar85j02pj2a4hfppnvzem9wkqa7lenvtecglt96vemd84dwgsqwj4klyzdqa24x2w8fhp3306s36ggzm: RaffleforUkraineOGBook866 
